Bug1,Bug2,prod,comp,type,priorA,versA,date,id,priorS,versS,,cosine_similarity,class
94995,112636,1.000,0.000,1.000,1.000,0.000,1.000,17641.000,1.000,0.000,0.989,dup
95000,94415,1.000,1.000,1.000,0.500,0.000,1.000,585.000,922337203685477.600,0.000,0.999,dup
95003,96384,1.000,0.000,1.000,0.500,0.000,1.000,1381.000,922337203685477.600,0.000,0.993,dup
95003,97844,1.000,0.000,1.000,1.000,0.000,1.000,2841.000,1.000,0.000,0.984,dup
95003,100384,1.000,1.000,1.000,1.000,0.000,1.000,5381.000,1.000,0.000,0.979,dup
95003,101107,1.000,1.000,1.000,1.000,0.000,1.000,6104.000,1.000,0.000,0.971,dup
95003,107295,1.000,0.000,1.000,1.000,0.000,1.000,12292.000,1.000,0.000,0.999,dup
95003,108922,1.000,1.000,1.000,1.000,0.000,1.000,13919.000,1.000,0.000,0.974,dup
95003,93842,1.000,0.000,1.000,1.000,0.000,1.000,1161.000,1.000,0.000,0.975,dup
95003,94102,1.000,0.000,1.000,1.000,0.000,1.000,901.000,1.000,0.000,0.977,dup
95007,95903,0.000,0.000,1.000,1.000,0.000,1.000,896.000,1.000,0.000,0.997,dup
95007,92547,0.000,0.000,1.000,1.000,0.000,1.000,2460.000,1.000,0.000,0.992,dup
95026,114488,1.000,1.000,1.000,1.000,0.000,1.000,19462.000,1.000,0.000,0.994,dup
95028,87894,0.000,0.000,1.000,1.000,0.000,1.000,7134.000,1.000,0.000,0.985,dup
95029,96868,0.000,0.000,1.000,1.000,0.000,1.000,1839.000,1.000,0.000,0.997,dup
95031,97056,1.000,1.000,1.000,0.500,0.000,1.000,2025.000,922337203685477.600,0.000,0.983,dup
95031,102472,1.000,0.000,1.000,1.000,0.000,1.000,7441.000,1.000,0.000,0.993,dup
95031,105396,1.000,1.000,1.000,1.000,0.000,1.000,10365.000,1.000,0.000,0.996,dup
95031,108029,1.000,1.000,1.000,1.000,0.000,1.000,12998.000,1.000,0.000,1.0,dup
95031,89920,1.000,1.000,1.000,1.000,0.000,1.000,5111.000,1.000,0.000,0.994,dup
95031,90324,1.000,0.000,1.000,1.000,0.000,1.000,4707.000,1.000,0.000,0.997,dup
95031,93639,1.000,1.000,1.000,1.000,0.000,1.000,1392.000,1.000,0.000,0.992,dup
